Sample,B,CD4 T,Endothelial,Epithelial,Immune,Macrophage,Mix,Monocytes,Neutrophils,Stromal,Unknown,doublet
13,9843,5774,583,551,,1831,2272,1225,105,1305,6,25518
14,12383,366,12,14,28,39,294,524,0,31,42,8782
14,365,8096,37,1,14,59,75,342,6,26,62,5655
14,9,33,128,1,0,0,0,3,18,6,1,262
14,12,1,1,1558,0,3,0,14,0,14,24,1096
14,24,14,0,0,6,0,0,5,0,0,4,151
14,37,54,0,3,0,38,5,26,2,3,0,340
14,293,81,0,0,0,5,586,36,0,2,0,1092
14,522,354,5,17,6,28,37,681,0,9,32,1987
14,0,6,17,0,0,2,0,0,2,0,0,43
14,25,25,6,7,0,2,2,5,0,53,4,319
14,38,57,1,24,4,0,0,34,0,8,645,1053
14,8750,5589,279,1171,152,346,1095,1972,44,358,1040,29086
15,6702,781,9,18,5,116,321,524,2,99,11,7346
15,793,7166,8,1,19,89,78,726,3,123,86,4693
15,8,6,43,6,0,33,0,4,3,15,7,225
15,17,1,5,2547,0,68,0,12,0,9,0,1860
15,5,20,0,0,0,0,0,3,0,0,1,15
15,113,87,38,65,0,676,2,77,1,72,1,1236
15,335,79,0,0,0,0,636,32,0,0,0,1135
15,501,728,3,12,3,76,33,753,2,27,25,2060
15,1,3,2,0,1,1,0,0,0,6,0,52
15,85,106,14,9,1,75,0,24,4,775,55,1325
15,10,91,7,0,1,1,0,26,0,70,446,966
15,7300,4660,231,1884,18,1235,1108,2031,51,1462,952,29001
16,5661,578,29,17,,240,484,739,6,92,0,6418
16,579,5215,16,0,,138,145,749,1,34,0,3520
16,26,18,79,1,,43,0,10,14,75,0,295
16,18,0,1,1941,,188,0,77,0,5,0,2106
16,,,,,,,,,,,,
16,243,133,47,188,,1198,5,297,9,78,0,2269
16,500,143,0,0,,8,936,145,0,0,0,1532
16,737,736,11,78,,299,142,1374,1,17,0,3018
16,7,2,13,0,,11,0,1,43,23,0,86
16,70,29,55,6,,70,0,13,14,1124,1,917
16,0,0,0,0,,0,0,0,0,1,0,5
16,6415,3520,301,2119,,2251,1498,2961,86,1101,5,20970
17,8867,7,0,8,1757,,,80,,6,263,8188
17,7,22,0,0,210,,,4,,0,4,95
17,0,0,0,0,2,,,0,,0,0,4
17,7,0,0,2280,0,,,9,,34,93,1193
17,1770,217,2,1,15671,,,85,,4,316,7898
17,,,,,,,,,,,,
17,,,,,,,,,,,,
17,80,3,0,7,85,,,38,,0,4,261
17,,,,,,,,,,,,
17,2,0,0,12,3,,,0,,168,49,238
17,239,5,0,97,308,,,3,,53,3923,3060
17,8126,100,4,1243,7734,,,249,,263,3094,23949
18,10825,91,0,14,96,0,7,1404,0,0,38,7376
18,88,1362,5,0,281,4,0,771,0,2,63,2188
18,0,6,5,0,0,0,0,14,4,0,12,70
18,15,1,0,2053,0,0,0,186,0,13,25,1850
18,98,284,0,0,405,0,0,158,0,0,59,1347
18,0,4,0,0,0,2,0,10,0,0,0,25
18,7,0,0,0,0,0,0,15,0,0,0,5
18,1400,772,18,195,151,9,12,12533,0,5,219,9415
18,0,0,4,0,0,0,0,0,0,0,0,9
18,0,1,0,7,0,0,0,3,0,3,7,28
18,35,59,13,22,54,0,0,207,0,12,705,1654
18,7314,2208,75,1849,1347,21,5,9413,8,37,1710,30141
19,634,111,25,0,,106,17,412,4,203,0,2026
19,108,349,13,0,,57,5,428,1,123,2,1424
19,24,11,525,2,,99,0,110,14,279,7,1564
19,0,0,2,1157,,2,0,18,1,5,0,798
19,,,,,,,,,,,,
19,104,51,107,3,,676,1,360,7,485,1,2165
19,17,6,0,0,,1,6,27,0,0,0,95
19,394,437,124,24,,360,30,7831,20,164,19,7867
19,3,1,16,1,,7,0,21,56,13,0,228
19,205,122,293,5,,462,0,148,13,2617,11,4401
19,0,1,10,1,,1,0,20,0,12,9,142
19,2015,1425,1645,817,,2135,91,7803,232,4379,143,32918
