Sample,B,CD4 T,Endothelial,Epithelial,Immune,Macrophage,Mix,Monocytes,Neutrophils,Stromal,Unknown,doublet
5,6.570699727,-17.68052377,-4.721852413,-11.1528314,-0.466900864,-8.452415458,36.73046039,-4.278497843,-4.017720962,-3.529150186,-2.749030705,-1.285491802
5,-15.26064116,4.205162457,-2.43175025,-8.182773874,-0.323277594,5.11928995,-5.028373915,18.20803506,-2.287379728,-1.844490782,-0.999282968,6.227590157
5,-10.2556939,-6.517896549,6.7097957,-2.4502689,-0.187607802,-0.917061846,-3.990804023,-2.328695557,57.84715844,-1.493454565,2.202959893,2.365581753
5,-8.155571426,-7.605856395,1.777693823,-4.148219779,-0.18504537,4.69812404,-3.472176786,-1.842721254,-1.491488297,32.97786548,-0.940318935,5.717012419
5,-6.296720579,-5.010933896,-1.114873532,-2.801063013,9.949874371,-2.16431594,-2.774382233,-1.503698951,1.204761603,-0.92728306,42.41430798,5.988126868
5,-52.26613496,-14.06179405,5.946071202,-7.017796278,0.771603157,8.629799177,-0.870078661,7.583898893,3.492919948,7.316488207,5.834174253,37.23186943
6,95.68946751,-33.8280957,-9.526036157,-20.28671958,-5.431355298,-23.80146442,4.100625797,-8.176999068,-10.3397763,-22.89092164,-15.29357926,-27.33484927
6,-33.62204478,81.8299101,-4.252473707,-15.43082688,-22.21089425,-3.457194548,-1.058814575,4.015890211,-5.306291902,-18.42794878,-16.6070881,-5.107567607
6,-9.17874928,-5.368639294,33.36844322,-4.576583916,-6.904786622,2.563152932,-1.973549629,-1.892715451,7.089639428,11.09507091,-4.204476191,2.505638223
6,-20.07523001,-15.1353948,-4.575671449,97.6408109,-14.61734429,-4.650948069,-3.73205612,-5.349631196,-3.144734005,-10.04789928,-7.034514613,-5.399319516
6,-5.121861129,-22.51782958,-6.866922962,-14.75481597,71.67058952,-18.42878876,-6.845646375,-6.484288,-7.704350893,-17.4002135,-1.635763977,-7.56010301
6,-23.44549725,-3.322381529,2.991566282,-4.83358911,-18.3464593,68.02437951,-4.854805923,1.608799715,-2.239750874,-12.41781247,-12.03217939,-0.204645876
6,4.274480414,-1.756283474,-2.032287628,-3.676438584,-6.85573026,-4.759730863,22.1909342,-0.219763201,-2.167255063,-4.81059335,-4.205522259,3.93169919
6,-8.520051731,3.621725939,-1.566596424,-5.338073904,-5.771421763,1.897857403,-0.206278683,18.00313302,-0.979467035,-6.070780868,-4.241218595,8.270105987
6,-10.14085607,-5.069902293,7.594019648,-3.355762431,-7.815144852,-2.577702061,-2.184562529,-1.631478088,77.14432315,-3.427968128,-5.207662098,-1.601894967
6,-23.10866664,-18.71038429,8.590987525,-10.35412604,-17.65241481,-12.59662048,-4.722621684,-6.220182143,-3.469934654,140.5109315,-7.552771216,-31.57570444
6,-15.70570703,-16.30965802,-4.295411592,-6.922393844,-3.022698105,-11.88458008,-4.324184043,-4.391795836,-5.117062733,-6.734539073,70.30258761,-1.067787172
6,-29.3536312,-6.382802837,2.666618068,-5.154301852,-9.021793,-0.781387609,4.393668278,7.248432464,-0.936381534,-29.10791257,-0.281768606,31.78888933
