Sample,B,CD4 T,Endothelial,Epithelial,Macrophage,Mix,Monocytes,Neutrophils,Stromal,Unknown,doublet
15,12,6,43,6,33,3,1,3,11,7,225
15,24,1,5,2547,68,0,12,0,2,0,1860
15,184,87,38,65,676,7,72,1,1,1,1236
15,603,676,3,0,5,1246,31,0,3,28,2450
15,257,131,0,12,71,32,145,2,0,0,745
15,3,3,2,0,1,0,0,0,4,1,52
15,4,7,9,2,0,0,0,1,596,30,499
15,40,111,7,0,1,29,0,0,45,448,981
15,8147,4660,231,1884,1235,2398,741,51,615,970,29001
16,6088,606,51,20,310,486,749,10,73,1,7113
16,611,5215,16,0,138,145,749,1,2,0,3520
16,43,18,79,1,43,0,10,14,58,0,295
16,21,0,1,1941,188,0,77,0,2,0,2106
16,315,133,47,188,1198,5,297,9,6,0,2269
16,502,143,0,0,8,936,146,0,2,0,1537
16,747,736,11,78,299,143,1372,1,3,0,3013
16,13,2,13,0,11,0,1,43,17,0,86
16,26,1,33,3,0,0,1,10,760,0,222
16,1,0,0,0,0,0,0,0,0,0,5
16,7107,3520,301,2119,2251,1507,2952,86,409,5,20970
17,8867,7,0,8,0,80,0,0,6,2020,8188
17,7,22,0,0,0,4,0,0,0,214,95
17,0,0,0,0,0,0,0,0,0,2,4
17,7,0,0,2280,0,9,0,0,34,93,1193
17,0,0,0,0,0,0,0,0,0,0,0
17,80,3,0,7,0,38,0,0,0,89,261
17,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0
17,2,0,0,12,0,0,0,0,168,52,238
17,2009,222,2,98,0,88,0,0,57,20218,10958
17,8126,100,4,1243,0,249,0,0,263,10828,23949
18,10825,92,0,14,0,1412,2,0,1,136,7384
18,90,1362,5,0,4,770,1,0,0,344,2188
18,0,6,5,0,0,14,0,4,0,12,70
18,15,1,0,2053,0,184,2,0,13,25,1850
18,0,4,0,0,2,10,0,0,0,0,25
18,1410,771,18,193,9,12474,42,0,0,370,9403
18,2,1,0,2,0,44,0,0,0,0,17
18,0,0,4,0,0,0,0,0,0,0,9
18,0,0,0,7,0,0,0,0,2,5,20
18,135,343,13,22,0,365,0,0,10,1223,3001
18,7323,2208,75,1849,21,9405,13,8,28,3057,30141
19,3509,233,284,4,562,247,330,17,26,8,6204
19,231,349,13,0,57,211,222,1,0,2,1424
19,267,11,525,2,99,74,36,14,36,7,1564
19,4,0,2,1157,2,3,15,1,1,0,798
19,583,51,107,3,676,55,306,7,6,1,2165
19,246,216,83,6,59,4837,173,7,4,19,4179
19,325,227,41,18,302,175,2709,13,0,0,3783
19,16,1,16,1,7,9,12,56,0,0,228
19,24,0,34,1,6,0,0,0,100,3,223
19,9,1,10,1,1,20,0,0,3,9,142
19,6162,1425,1645,817,2135,4119,3775,232,232,143,32918
