Sample,B,CD4 T,Endothelial,Epithelial,Macrophage,Mix,Monocytes,Neutrophils,Stromal,Unknown
17,140,2,0,5055,7,124,0,0,74,1411
17,2,0,0,7,0,0,0,0,0,5
17,737,22,0,135,0,306,0,0,5,865
17,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0
17,70,4,0,42,0,3,0,0,309,507
17,9803,559,12,1450,4,868,0,0,548,42457
18,27120,578,11,97,9,6927,6,11,10,1814
18,563,3234,32,36,27,2715,1,5,2,1943
18,7,25,74,3,4,104,0,24,4,211
18,95,36,3,6639,39,1451,5,7,29,298
18,7,31,4,35,8,123,0,4,2,55
18,6868,2713,117,1465,120,28042,77,29,14,3886
18,6,1,0,6,0,79,0,1,0,0
18,6,7,24,7,4,34,1,9,1,41
18,6,1,4,17,1,10,0,1,4,40
18,1754,1936,223,281,58,3859,0,47,54,6646
19,15337,1749,1679,95,3850,2518,2241,144,346,458
19,1742,1565,163,19,719,1108,1142,23,6,58
19,1581,148,2089,38,922,461,170,152,271,262
19,88,18,42,3395,133,105,79,21,11,31
19,3853,701,967,140,3973,1025,1994,232,35,90
19,2498,1143,509,107,1007,12440,1194,29,18,338
19,2209,1142,198,90,2000,1198,6769,107,0,13
19,143,18,149,23,228,33,100,252,2,4
19,317,5,263,11,30,10,0,1,349,82
19,438,51,277,30,92,320,9,5,78,152
